0.0,0,10,0,9,0,42.62
0.0,1,10,0,9,0,8.48
0.0,1,10,0,9,0,8.46
0.0,1,10,0,9,0,9.64
0.0,1,10,0,9,0,3.71
0.0,1,10,0,9,0,3.43
0.0,0,10,0,1,0,9.57
2.0,0,9,2,0,0,0.8
2.0,2,11,0,4,0,4.15
3.0,2,10,0,13,0,16.45
4.0,2,10,0,5,0,4.79
3.0,2,10,0,13,0,55.11
6.0,2,11,0,4,0,2.39
6.0,2,10,0,13,0,14.73
3.0,2,11,0,4,0,8.49
5.0,2,11,0,14,0,1.34
4.0,2,11,0,5,0,2.23
2.0,2,11,0,14,0,4.59
3.0,1,11,0,11,1,2.42
2.0,1,10,0,4,0,3.05
4.0,1,10,0,4,0,5.75
5.0,1,11,0,8,0,2.12
4.0,1,10,0,11,1,42.94
2.0,1,10,0,8,0,32.91
3.0,1,10,0,4,0,1.15
9.0,1,10,0,0,0,25.94
1.0,1,10,0,4,0,18.42
6.0,1,11,0,4,0,2.02
4.0,1,10,0,11,1,22.99
7.0,1,11,0,14,0,0.75
2.0,1,10,0,4,0,7.04
4.0,1,11,0,4,0,1.15
3.0,1,10,0,4,0,2.64
4.0,1,11,0,14,0,2.81
4.0,1,10,0,5,0,7.71
1.0,1,10,0,4,0,4.53
6.0,1,10,0,0,0,22.21
3.0,1,10,0,4,0,2.26
3.0,1,11,0,14,0,1.9
2.0,1,10,0,0,0,6.81
4.0,1,10,0,11,1,16.61
2.0,1,11,0,4,0,0.25
3.0,1,11,0,4,0,1.18
3.0,1,10,0,4,0,8.25
5.0,1,11,0,4,0,2.4
12.0,1,10,0,0,0,5.2
2.0,1,10,0,4,0,3.07
3.0,1,10,0,11,1,8.81
2.0,1,10,0,1,0,2.54
2.0,1,11,0,14,0,1.74
3.0,1,11,0,5,0,6.89
3.0,1,11,0,0,0,1.71
9.0,1,10,0,0,0,9.56
3.0,1,11,0,11,1,2.81
2.0,1,11,0,0,0,2.02
2.0,1,10,0,4,0,2.18
3.0,1,10,0,11,1,18.59
3.0,1,10,0,4,0,22.88
2.0,1,11,0,4,0,1.77
7.0,1,10,0,4,0,8.4
3.0,1,11,0,11,1,1.54
2.0,1,10,0,4,0,3.91
6.0,1,10,0,4,0,2.88
3.0,1,11,0,5,0,1.71
1.0,1,11,0,4,0,0.5
6.0,1,10,0,0,0,6.04
2.0,1,10,0,4,0,5.09
3.0,1,11,0,4,0,2.96
2.0,2,11,0,4,0,0.21
2.0,2,11,0,5,0,0.13
2.0,1,11,0,5,0,0.09
3.0,1,11,0,8,0,0.2
2.0,1,11,0,0,0,0.12
0.0,0,11,0,9,0,1.23
2.0,0,10,0,0,0,2.12
2.0,0,11,0,0,0,9.7
6.0,3,10,0,11,1,4.92
5.0,3,10,0,11,1,10.15
3.0,2,10,0,5,0,4.02
4.0,2,10,0,4,0,0.46
5.0,3,10,0,11,1,8.69
6.0,2,10,0,8,0,0.46
4.0,3,10,0,11,1,8.48
7.0,1,10,0,4,0,0.58
2.0,1,10,0,4,0,4.0
4.0,1,10,0,4,0,0.34
6.0,1,10,0,14,0,0.54
4.0,1,10,0,4,0,1.31
7.0,1,10,0,4,0,0.44
6.0,1,10,0,4,0,3.26
5.0,1,10,0,4,0,2.58
6.0,1,10,0,4,0,0.71
3.0,1,10,0,0,0,1.02
0.0,2,12,4,9,0,0.07
5.0,2,10,0,8,0,0.19
2.0,1,10,0,4,0,0.11
3.0,1,11,0,4,0,0.12
6.0,2,10,0,13,0,1.52
0.0,2,12,4,9,0,0.09
5.0,1,10,0,4,0,0.21
4.0,1,10,0,4,0,0.13
3.0,1,11,0,4,0,0.09
5.0,1,10,0,13,0,1.56
4.0,2,11,0,4,0,0.19
6.0,1,12,0,4,0,0.25
3.0,1,12,0,4,0,0.25
4.0,1,12,0,4,0,0.24
1.0,1,11,0,4,0,0.18
2.0,1,12,0,4,0,0.27
7.0,1,11,0,4,0,0.32
2.0,1,12,0,4,0,0.55
3.0,1,12,0,4,0,2.02
2.0,1,11,0,4,0,0.2
2.0,1,12,0,4,0,1.23
7.0,1,12,0,4,0,0.32
2.0,1,11,0,4,0,0.53
1.0,1,11,0,4,0,0.35
3.0,1,12,0,4,0,0.38
1.0,1,12,0,4,0,1.15
2.0,1,11,0,4,0,0.28
3.0,1,11,0,4,0,0.21
2.0,1,12,0,4,0,0.24
2.0,1,11,0,4,0,0.22
5.0,1,12,0,4,0,0.24
1.0,1,12,0,4,0,0.69
3.0,1,12,0,4,0,0.31
0.0,1,12,0,3,0,0.05
0.0,1,12,0,3,0,0.05
0.0,1,12,1,3,0,0.07
0.0,1,12,0,3,0,0.05
0.0,1,12,5,3,0,0.04
0.0,1,12,0,9,0,0.09
0.0,3,11,0,9,0,0.24
0.0,1,12,0,9,0,0.39
0.0,1,12,0,9,0,0.05
0.0,1,12,0,9,0,0.09
0.0,1,12,0,9,0,0.08
1.0,0,11,0,0,0,0.25
4.0,0,12,0,0,0,0.03
3.0,0,11,0,0,0,0.05
2.0,0,11,0,1,0,0.04
4.0,0,12,0,1,0,0.02
